datetime,open,high,low,close,volume
2019-02-25,3732.4,3860.3,3732.3,3819.8,5235.66466157
2019-02-26,3819.6,3829.9,3764.0,3796.5,4250.62459496
2019-02-27,3795.0,3827.9,3652.6,3799.1,6134.17644437
2019-02-28,3797.8,3885.0,3756.4,3793.7,5541.15791675
2019-03-01,3793.6,3843.0,3785.8,3804.7,2627.89667451
2019-03-02,3804.6,3818.5,3754.3,3809.9,1736.65142837
2019-03-03,3810.3,3822.4,3755.4,3785.7,2185.07394461
2019-03-04,3785.7,3805.2,3670.9,3700.1,4400.87625462
2019-03-05,3701.2,3875.1,3690.6,3844.9,4403.43263766
2019-03-06,3845.0,3895.7,3805.0,3851.7,3400.11214338
2019-03-07,3851.7,3891.4,3829.9,3854.0,4055.6527702
2019-03-08,3854.0,3910.0,3760.3,3844.3,4622.74142135
2019-03-09,3840.5,3947.0,3836.7,3919.2,3247.29348743
2019-03-10,3916.1,3916.3,3863.7,3897.9,1440.59841159
2019-03-11,3899.8,3911.2,3815.5,3850.7,3191.63553921
2019-03-12,3852.0,3879.6,3800.4,3863.1,3234.37708812
2019-03-13,3864.4,3873.5,3826.2,3853.4,2993.39955089
2019-03-14,3851.3,3907.0,3781.6,3853.9,3571.00306127
2019-03-15,3853.9,3909.8,3846.8,3900.2,2871.0910346
2019-03-16,3900.1,4042.5,3899.7,3989.2,4342.98153381
2019-03-17,3989.5,3989.6,3937.4,3965.0,1460.9604616
2019-03-18,3965.1,4019.9,3935.2,3969.6,3702.12903766
2019-03-19,3969.6,4010.0,3950.0,4000.0,3185.06351207
2019-03-20,3999.9,4048.8,3963.4,4032.1,3894.25952116
2019-03-21,4030.9,4064.4,3871.3,3972.4,4796.43755723
2019-03-22,3972.5,3999.0,3960.0,3982.1,2460.15995685
2019-03-23,3982.1,4000.4,3961.0,3982.5,1599.83343165
2019-03-24,3982.4,3982.4,3944.4,3969.3,2034.20352881
2019-03-25,3968.6,3976.6,3855.5,3905.9,4751.61990755
